"1" "2" "3" "4" "5" "6" "7"
"681605" 6.89445534807353e-07 6.97198914301116e-12 4.57574315108695e-12 1.05158990830933e-06 5.82319279336678e-12 7.19228214144063e-12 1.72062578731556e-11
"4479944" 1.14248058191309e-12 2.9200004911466e-12 4.59936388166514e-07 1.05466297875167e-11 5.81030877549774e-12 7.19118606556611e-12 1.71611992357457e-11
"541135" 1.13955685145199e-12 2.91839410145169e-12 4.44407735877742e-12 8.81029995498103e-12 5.78135897267813e-12 1.70819769462473e-11 1.77476149869264e-06
"1050608" 1.19985919558379e-12 3.07263503605867e-12 1.23310724584525e-11 2.42273504386839e-05 1.42827015945127e-11 2.55082853688058e-06 7.94357094202795e-11
"101767" 1.14541025913985e-12 2.93926885167093e-12 4.59936290132361e-07 1.007716333357e-11 6.06147335236216e-12 7.25930775492195e-12 1.73884553924274e-11
"337732" 2.26205128987274e-06 1.45479075853177e-06 4.45048364396763e-12 8.85185945023566e-12 5.79926194129084e-12 7.19406379129067e-12 1.7329941753446e-11
"533624" 1.17922073674959e-07 3.35055435030246e-12 4.44444660711448e-12 8.81291025137753e-12 5.79212936808345e-12 7.1900440434979e-12 1.71556677937216e-11
"741867" 1.18053720690025e-12 2.98023848688041e-12 2.97014404548776e-06 5.0894528118622e-06 6.17851827489829e-12 8.67944249310415e-12 1.70442391513633e-06
"188753" 1.14046396775805e-12 2.91861988021466e-12 4.44424682898395e-12 8.82502441330537e-12 1.80937695079831e-06 7.2610157838048e-07 1.71618757479425e-11
"4315782" 1.14054055587433e-12 2.91803113059647e-12 4.44412381262435e-12 8.81034391788169e-12 1.19664475718215e-06 7.18921239636249e-12 1.71500938812378e-11
"577110" 1.13939530576544e-12 2.91799116136848e-12 4.44406615890999e-12 8.81011299091388e-12 5.98325270934333e-07 7.18906540632953e-12 1.71525945738113e-11
"4472240" 1.19129167495228e-12 2.97747491514023e-12 8.94720199275221e-12 5.4706728708295e-06 8.54318413902641e-12 7.27656421177198e-12 1.7629251651317e-11
"4341232" 1.14004684514853e-12 2.91804401649859e-12 4.44404420426125e-12 8.8100304682557e-12 5.9832526885567e-07 7.18903319565095e-12 1.71489660159487e-11
"181344" 1.13966734458322e-12 2.91876660991976e-12 4.44414406704468e-12 8.81052855753482e-12 2.99160323454248e-06 7.18920205346719e-12 1.71512586028985e-11
"253429" 1.23087357390409e-12 3.02129918802784e-12 1.64290210072742e-11 3.62824148189574e-06 6.10701700718995e-07 7.50918376402575e-12 1.80451157406238e-11
"4467992" 0.000426884393691234 0.0129943326463291 1.01246409300082e-05 9.34483482392278e-05 1.00419038025747e-11 7.83326777598512e-06 4.71748803031612e-05
"4467993" 7.75079583026184e-05 0.0085851086095503 8.503383453141e-06 3.94882637126961e-05 9.31430886306780e-12 2.92481952714997e-11 2.47301386024292e-05
"544561" 1.14098827636648e-12 2.9180148586831e-12 4.72327975145787e-12 9.67250670403816e-12 5.79288783805477e-12 7.1906393642921e-12 1.77478228420069e-06
"4454356" 4.78721703281557e-07 7.53185837661418e-06 4.47629505806684e-12 8.82824172409435e-12 6.19931218488813e-12 7.19604511225033e-12 1.72132653172889e-11
"710414" 1.14556479620223e-12 2.98048456666777e-12 4.69599487553681e-12 9.1178609586012e-07 5.91940463839128e-12 7.89119206736999e-12 1.83073773058996e-11
"4304452" 1.14704390695246e-12 2.9567422639381e-12 7.31037273519789e-07 2.48357580842909e-11 5.85337802699611e-12 7.19052349867219e-12 7.28645159227111e-07
"1920110" 0.000654275432390437 0.00014580442124013 7.9182406294093e-07 5.77527979672228e-11 2.42776202637246e-06 7.2169358320523e-12 2.06827559307452e-11
"318732" 4.1360295613126e-07 3.0430089330365e-12 4.44831781505565e-12 8.82614777385273e-12 6.27790556984619e-06 7.19606135018065e-12 1.71702127218107e-11
"1055931" 1.17921802817706e-07 3.94687974289288e-12 4.44743528949278e-12 8.82372188757069e-12 5.95270768216004e-12 7.19786960236761e-12 1.72001436743854e-11
"1081058" 1.13980680225858e-12 2.91805634807393e-12 4.67649463766121e-12 9.11787863835568e-07 5.84679407899605e-12 7.18923610337076e-12 1.72846389617151e-11
"594511" 1.13952645041401e-12 2.91861485702342e-12 4.4440839410982e-12 8.81018308567187e-12 2.99160323566399e-06 7.18910732400262e-12 1.7152074740476e-11
"308017" 1.15964359597913e-12 3.07202938697203e-12 1.37979098698058e-06 3.18143367266992e-11 5.86485959775712e-12 7.18989547429155e-12 1.73868621178778e-11
"354275" 1.14109707473556e-12 2.93252320038915e-12 4.59268194467435e-12 8.86801158784809e-12 5.99973120361048e-07 7.19142456130627e-12 1.76989636465888e-06
"4424923" 5.90930152945549e-07 4.13309578723515e-12 4.82109350125359e-12 8.38113539156312e-07 4.82740689472035e-06 7.22132098246347e-12 1.77710762041351e-06
"1117877" 1.21823949552256e-12 3.10060423218746e-12 1.83969248007248e-06 2.80407125696109e-10 6.00003853079813e-12 8.16722573908603e-12 1.77212847592508e-11
"244484" 1.13939530576544e-12 2.91799116136848e-12 4.44406615890999e-12 8.81011299091388e-12 5.98325270934333e-07 7.18906540632953e-12 1.71525945738113e-11
"2092399" 1.14000783325315e-12 2.91930248075226e-12 4.59933490801581e-07 1.62453006096276e-11 5.85704314098541e-12 7.18955576418426e-12 1.71556071698266e-11
"687185" 8.44885223603766e-08 4.43901902641833e-12 1.61876578596161e-11 0.00015434925713646 5.94755640182255e-12 7.21461013255923e-12 2.561948900979e-11
"702443" 1.14971929523397e-12 2.93800941947011e-12 1.24462694624083e-11 2.00354563744519e-05 5.8076914459622e-12 1.50737141880326e-06 1.73194994811177e-11
"569786" 8.2542584332479e-07 7.65937868167723e-12 4.45793018771385e-12 8.81662316601935e-12 1.19675218749445e-06 7.19131817562821e-12 1.73569909183147e-11
"1070796" 1.18352128240316e-12 2.98273264594585e-12 2.70634232297308e-06 1.05587546074062e-07 5.8609298038209e-12 7.23571783285571e-12 2.26111385881016e-11
"4343580" 1.19431527930932e-12 2.93068976257674e-12 4.46036457204975e-12 9.87081446699025e-12 5.08571615427879e-05 7.18999491695861e-12 1.71646393050667e-11
"301630" 1.13951941925139e-12 2.91898423492851e-12 4.44414689428021e-12 8.81049248437509e-12 5.98325247831225e-07 7.18926532161194e-12 1.72118931217526e-11
"460604" 3.55298390007791e-07 4.15943796507068e-07 3.52644045118897e-05 1.71815016127392e-05 3.91030485920791e-06 7.48169604046546e-05 1.41967721344437e-05
"1093417" 1.14031758752318e-12 2.91816988048283e-12 4.84512053542526e-12 1.82356688289318e-06 5.88575298770653e-12 7.1945262148464e-12 1.78010246807649e-11
"4465900" 2.23059646630538e-07 3.34736870357008e-07 4.44839070922913e-12 8.82781807810524e-12 5.78953650702641e-12 7.19494649422881e-12 1.71973386221094e-11
"523051" 1.1447770197055e-12 2.91961048175563e-12 5.7801617910668e-12 1.30113137675235e-11 1.31630272326886e-05 7.19371353339016e-12 2.55573166196643e-11
"348377" 1.13970178286122e-12 2.91810746277728e-12 4.4442964398608e-12 8.81112563252216e-12 5.9832526762154e-07 7.18965851797361e-12 1.71528505702667e-11
"348376" 7.54694753213699e-06 1.41994173754503e-11 4.44742387636087e-12 8.82537054247579e-12 5.83965887612665e-12 7.19141394140628e-12 1.72297331889882e-11
"198952" 1.15310045349883e-12 2.93658153706843e-12 9.19869606583012e-07 9.19501061038611e-12 5.8016051537086e-12 7.19036082623209e-12 1.81893548718201e-11
"1143045" 0.000141046579262921 6.02479781175652e-05 8.21978964061019e-12 7.93332511350608e-08 8.5580019578502e-06 7.20861817975141e-12 3.9159817100252e-11
"1134664" 1.14000783325315e-12 2.91930248075226e-12 4.59933490801581e-07 1.62453006096276e-11 5.85704314098541e-12 7.18955576418426e-12 1.71556071698266e-11
"1143515" 1.14248058191309e-12 2.9200004911466e-12 4.59936388166514e-07 1.05466297875167e-11 5.81030877549774e-12 7.19118606556611e-12 1.71611992357457e-11
