"1" "2" "3" "4" "5"
"54" 8.20009895536722e-12 1.80680974018919e-11 1.2256003792832e-11 1.58547227396432e-11 0.000202995560432921
"94" 8.18973444363573e-12 1.30428467171386e-11 1.16614274930642e-11 1.43743481361545e-11 5.66045382221186e-05
"113" 8.21018130406386e-12 9.65113873625238e-12 1.14695928043306e-11 1.50396629372288e-11 5.07489022018839e-05
"117" 8.17600257522854e-12 9.87615570592921e-12 1.14251332793551e-11 1.3434857700459e-11 1.95188166663377e-05
"145" 2.56262907720421e-06 9.22738978049646e-12 4.72362734102322e-11 1.30378843121003e-11 5.05905392835664e-06
"202" 1.06396419693425e-11 1.11813848653073e-06 7.14934533002504e-05 3.24422742599417e-06 3.52609754694119e-11
"217" 0.000191796456669631 1.01520435064743e-11 4.54865418431732e-11 2.77232255852628e-11 6.59126202777984e-05
"237" 3.86210644435609e-06 1.22947491141681e-06 0.000376670486178347 1.77962135788086e-11 5.28803140898915e-11
"245" 8.65263150256285e-12 3.33219430798752e-11 2.74357842078439e-05 9.25500533321544e-07 2.55700528094232e-11
"248" 1.93596807061064e-05 2.19959004759811e-11 1.55979923353672e-11 4.32914757284198e-05 2.49507538674974e-11
"251" 2.05471368273646e-05 1.1600852514665e-11 1.71808873189752e-11 1.55657259420835e-11 0.000112607604422134
"253" 3.49603353978956e-05 1.50802373034881e-07 6.44606807393142e-11 2.32626489241125e-08 1.58765474379661e-11
"257" 2.89380357066833e-11 1.17229810219108e-11 0.000209479236101475 1.15438615612237e-10 1.58936410709672e-05
"261" 0.000143339276664933 1.2742121027445e-11 4.28852239359453e-07 1.70374048171214e-06 4.49938923058421e-11
"263" 1.10898806087115e-11 1.32935398909453e-05 1.18125820762495e-11 7.042512995303e-06 1.55187353205033e-11
"268" 9.95835539759182e-10 1.45784312650939e-11 0.000303382137314171 8.45082961651491e-11 4.46718593070469e-11
"269" 1.17086138410599e-11 1.86897520739632e-11 7.49569719064143e-05 2.06664481633299e-05 2.4938861384293e-06
"274" 8.35999276363334e-12 9.37604962665955e-06 1.72516871897493e-11 2.81170863381563e-06 1.76251922859452e-11
"277" 4.83688414916359e-05 9.04326380998618e-12 1.37590673562519e-11 1.43078321009074e-11 7.71925669806965e-05
"283" 2.03169201851704e-06 1.00563408344154e-11 2.47188200073084e-11 1.59520899945742e-11 1.18885555766276e-05
"291" 1.44074025592291e-11 1.19501258136599e-11 5.59080083886935e-06 2.1716690185341e-05 6.43051810611236e-06
"307" 0.000915864497204126 1.16713672393318e-11 3.3845897422311e-10 3.59838316987701e-11 0.000316910375890121
"316" 0.00190769025960609 1.96589332024602e-11 1.77584287340833e-11 2.63240212295312e-11 0.000929764070456003
"319" 0.00483146806788289 1.14676803042446e-11 2.64859334012609e-11 6.85302002893512e-11 0.00589246868043191
"321" 8.53798450467279e-12 9.87978403927981e-05 4.3055706966562e-07 5.65006217367909e-11 1.99034953883305e-11
"327" 0.00194433818221097 1.7549420807228e-11 2.33490167926592e-11 5.30151589478769e-11 0.00246113516588224
"328" 1.66230201792922e-06 0.000182224556515732 2.75743386039466e-05 3.20750382167919e-05 1.14716646470308e-09
"337" 0.000204587782736828 1.21554023971655e-11 4.98877489249721e-07 1.64913140492038e-11 0.000219417415462249
"340" 1.44361106236418e-06 2.73081115284158e-11 1.43414297977972e-05 2.58098795522534e-11 5.74803056668828e-11
"341" 1.33872827029638e-05 9.01540184911512e-11 4.8643480630435e-05 0.000734919966671175 1.28775391936412e-05
"342" 2.07138906938735e-06 1.06321742138133e-11 1.32925342456431e-11 1.51869588940505e-05 2.1083667899065e-11
"343" 1.80307671309533e-07 2.12243354012286e-11 8.67102255979732e-06 4.65578654446229e-11 4.28779922818208e-11
"344" 2.52768302808089e-05 3.35506514618523e-11 1.83794993306433e-11 0.000171516194625484 3.45047293982185e-11
"348" 7.09747082050694e-06 9.14524644841565e-12 1.4199939992249e-11 2.05346266121133e-11 1.4308283954752e-05
"363" 0.00164835877765553 3.55419528644505e-06 3.90400590281551e-11 1.99121805227249e-10 7.7843319825022e-05
"364" 0.000113646386795786 9.99439600114483e-12 3.28129603924566e-06 2.77045739136574e-11 1.2537727470767e-10
"366" 2.13118711032638e-06 2.28324374693281e-06 2.82121149898254e-05 7.03406426272905e-11 5.57870144846185e-11
"371" 5.50486815966134e-06 1.17483793542061e-11 1.39641492402735e-11 7.55633539058712e-05 3.4761059973348e-06
"372" 4.41779792148338e-06 1.9355976076967e-11 4.23634862287491e-06 1.6747710850537e-11 3.1289181791893e-11
"378" 0.000148074280094593 2.06338265015215e-11 1.58503772415267e-11 2.46467619578705e-11 4.26574453875976e-05
"382" 0.000131956960533884 8.82051316292676e-12 1.15467978192289e-11 1.31850903502625e-11 1.79069474484407e-11
"383" 6.8635585433022e-06 8.97230436013659e-12 7.00128345092754e-11 1.29273266858353e-11 1.86410187722065e-05
"384" 1.73275535568656e-05 8.89190862557882e-12 1.72581874884312e-11 1.44668900119699e-11 5.30384797383293e-06
"387" 6.4387230593431e-06 8.74644993439023e-12 5.33537661633238e-11 1.31238125320161e-11 7.70898434289301e-06
"390" 2.35811541061131e-06 1.4376979944202e-11 2.44131295228697e-05 1.43231919153092e-11 3.19489973827847e-05
"396" 0.00083902253026114 1.16353657739189e-11 3.44603159182189e-11 1.99626515732132e-09 0.00180269632739833
"397" 0.000147376717662001 1.40885224450793e-06 2.46224566200967e-11 1.34655361127203e-06 0.00160728882314331
"398" 4.41179349230074e-06 8.67590198329843e-12 1.17053407879146e-11 1.30105482726136e-11 1.66739612683937e-06
