"1" "2" "3" "4" "5" "6" "7"
"54" 5.82806873067014e-12 1.24426915385598e-11 1.06226913555296e-11 1.37240515958134e-11 1.43646479782655e-11 1.91287705002981e-11 0.000342247239678435
"94" 5.86296387067144e-12 1.07670922902313e-11 1.06038489849437e-11 1.35889010632917e-11 1.3692161132524e-11 1.77906239109815e-11 9.5434335007441e-05
"113" 5.81893599836669e-12 9.00159854024031e-12 1.06238066245252e-11 1.28052914737771e-11 1.34905849613289e-11 1.79037049381087e-11 8.55618238064077e-05
"117" 6.10106415128282e-12 9.38675871443663e-12 1.05954115631358e-11 1.24798253364162e-11 1.34760859894977e-11 1.74961637566183e-11 3.29084021036832e-05
"145" 4.20669014897267e-06 8.9879173058056e-12 1.89105758069763e-06 1.30095803406777e-11 1.46497909431595e-11 1.7187020386417e-11 3.04891895117165e-11
"202" 1.40164675781767e-11 1.13097939650137e-11 3.25000213865382e-06 2.05113976827115e-06 0.000114717556835706 5.16514540328043e-06 1.86693569434141e-11
"217" 0.000217482052575045 9.69291132410394e-12 1.6487587382787e-10 1.49706860939663e-11 3.91198117264666e-06 3.28005761431241e-11 1.50138149743291e-05
"237" 1.19565857238045e-10 1.08899778613523e-06 5.10328805088604e-05 2.73048833033755e-11 0.000566432103623551 2.08182074794586e-11 2.10941511790479e-11
"245" 7.03905921063679e-12 9.06016256720324e-12 1.1202297725865e-11 1.64638825231085e-11 4.66212691407466e-05 1.90615938781942e-11 1.80832564013583e-11
"248" 9.90537020540526e-12 1.1187292886877e-11 1.17813868256748e-11 1.44824827549347e-11 1.60435170777764e-11 8.13651507912118e-06 0.000136244531878607
"251" 3.11811098628366e-05 1.44799035317916e-11 8.49482475754687e-05 1.69279745021911e-11 1.57830102381273e-11 2.23627895727932e-11 1.04953067793065e-05
"253" 1.48033124492156e-06 1.03471432756617e-06 2.9027404743285e-05 1.37643883385784e-11 3.29289111146183e-11 2.1770445317754e-11 5.22107218276454e-05
"257" 1.14865208538694e-09 1.0353690609676e-11 7.525504249037e-06 1.40090604585513e-11 0.000346387055489596 6.3196330546682e-11 1.29448534432057e-05
"261" 7.66570939333935e-05 9.1723204568347e-12 0.000121097190421196 1.46493115058676e-11 1.78159427464497e-11 1.77368178071489e-11 8.28846858635589e-11
"263" 6.17470038910359e-12 1.13968842507013e-11 1.11103474890792e-11 3.29021434524987e-05 1.35000750691621e-11 4.16595314062239e-06 1.87392321280321e-11
"268" 1.48165982782862e-11 1.11337224539579e-11 5.04461793422414e-06 1.58405704261659e-11 0.00049415199624069 4.7015650059051e-11 2.96516550846357e-11
"269" 7.31206009174676e-07 1.08571910826139e-11 5.42960652802138e-11 2.78220648152762e-11 0.000155325235928845 1.29832956817118e-10 2.22808028615958e-11
"274" 5.78639761719999e-12 8.9158183291324e-12 1.08422620201616e-11 1.98374137484951e-05 2.06239134744756e-11 3.61771282785382e-06 3.15292400513650e-11
"277" 8.89418602500971e-05 8.78102225487531e-12 2.82938722237783e-11 1.27240467238655e-11 1.48688394200445e-11 2.04817462569971e-11 2.09020959472029e-11
"283" 3.08051761906928e-06 8.70610397912779e-12 9.75874272332534e-06 1.77502763302938e-11 1.62634239502595e-11 1.77319841214206e-11 9.7302796979178e-11
"291" 6.21894700295061e-12 1.54355501492983e-11 5.12834808086732e-06 1.67432260642791e-11 5.4694770560343e-11 5.60223199064712e-06 5.11844531825577e-05
"307" 0.0010061687876797 1.0484914263508e-11 0.000118556845835761 1.07683726933987e-10 3.07584032413138e-11 2.24591422770608e-11 3.38775502891886e-11
"316" 0.00231861543568683 1.94059711262749e-11 4.25385089202546e-11 1.94305775895401e-11 1.85402469114942e-11 2.75672394646443e-11 0.000174890417171697
"319" 0.00785788878627233 1.13275999468858e-11 8.87393155226479e-05 1.65754597940718e-11 4.5356285243093e-11 1.06256494382477e-05 7.00972084842027e-11
"321" 6.29833107502042e-12 0.000122413068239711 1.08013912604812e-11 1.0407813217278e-05 4.19025376906638e-06 3.49101893932257e-06 2.30488637996188e-11
"327" 0.00322835149594062 3.34057515570412e-11 5.01635085609649e-11 1.58570381749194e-11 4.12250475397388e-11 8.5189782141356e-06 2.19935984805611e-08
"328" 3.32899024028558e-11 1.11220800275871e-11 4.25457549305911e-11 0.000444472736853276 6.9498165780668e-06 5.01974214608978e-11 3.58405313394535e-11
"337" 0.000310217712826776 1.02606577187513e-11 1.91161974415396e-11 1.79718905980356e-11 3.379699339827e-06 1.97178813556999e-11 2.35415304505517e-05
"340" 3.16782242866546e-11 4.76478895786273e-06 1.46539348179521e-05 1.92182529292864e-11 1.01886347004003e-07 7.24692733924444e-07 3.66641611800262e-11
"341" 4.50552763054559e-11 3.46511185786738e-06 1.92412354971105e-05 2.50522880352776e-11 3.62377044359769e-08 0.000116954489645072 0.0014492220060853
"342" 7.30971832417067e-12 1.32614097503981e-11 1.08255999258264e-11 2.12562814715146e-11 1.64556718196481e-11 8.72947141072835e-06 2.70235828003775e-05
"343" 6.00716963588676e-12 1.70815930482867e-06 8.18497070612329e-06 2.68391045765377e-11 3.30345444899126e-11 3.51706507927407e-11 2.09150944707273e-06
"344" 1.62200393537459e-11 1.41001573639999e-11 1.93118262327235e-11 1.72909459590574e-11 2.17980575525953e-11 2.17626462813923e-05 0.000391770681380094
"348" 3.28387786190078e-06 8.88180587487727e-12 1.50457749506542e-05 2.21792803374459e-11 2.07723896884673e-11 1.73195621366729e-11 1.00912700061334e-05
"363" 0.00164633234698002 2.87420869814165e-06 4.55808511542687e-11 4.46523026881256e-06 3.60199486713758e-11 9.46347887259062e-06 3.85948007767482e-05
"364" 4.37652435841631e-05 9.60250586838833e-12 0.000127541401072599 2.45679108634168e-06 2.2021642832382e-11 2.11909945306633e-11 1.01051107274975e-10
"366" 2.7405431590678e-10 1.60218318850653e-06 3.81787629265948e-05 2.09794947901059e-06 1.56683760365021e-11 2.30010182074956e-11 4.04750088252042e-06
"371" 2.50871449266883e-11 1.10707250044606e-11 1.58748680593052e-11 1.41502333712856e-11 1.76429521352195e-11 2.63327304526353e-11 0.000171123542425551
"372" 7.40430240251771e-12 1.34835257199807e-11 1.35109256858994e-05 1.44423727667058e-11 1.46373971635275e-11 1.95221966580612e-11 3.2544646057037e-11
"378" 0.000168466285434152 1.75114955241805e-11 1.45467453070588e-11 1.73841008855706e-11 1.80922684411512e-11 2.50849207652698e-11 2.22871924480357e-10
"382" 0.000128400043688982 8.56864341723997e-12 1.20930602234544e-11 1.25452157787304e-11 1.37011756512323e-11 1.75384490034917e-11 4.24716813236074e-06
"383" 1.64725645144148e-05 8.62905085670017e-12 2.18976953135451e-11 1.24564698066715e-11 6.31834848030368e-07 1.7256157556772e-11 1.83360813514537e-11
"384" 1.44671789236937e-05 8.56329158668933e-12 9.98652792216197e-06 1.26292413699489e-11 1.57109299287392e-11 2.03224827305335e-11 2.29884766423858e-11
"387" 9.31156415739828e-06 8.37726593635087e-12 2.12532326759601e-06 1.28525167188523e-11 1.87608297990932e-11 1.72819739149219e-11 2.366155402877e-11
"390" 1.02555653466545e-11 8.90885927056491e-12 6.75545554614436e-05 4.66174978081168e-11 1.39004617296221e-11 1.7266227601843e-11 1.94075224446346e-10
