"1" "2"
"54" 5.67877935078419e-05 1.15188587896172e-11
"94" 1.58350642003681e-05 1.22034376078443e-11
"113" 1.41969553867203e-05 1.18611895882798e-11
"117" 5.46036981907382e-06 1.54241175438444e-11
"145" 1.12915403174881e-11 2.81377515039417e-06
"202" 1.80595334352408e-05 1.00880084829382e-05
"217" 1.46548066985462e-11 0.000120429156201448
"237" 1.03614163482016e-06 0.000144122442265041
"245" 9.03497830128203e-06 1.38074926175996e-06
"248" 1.0239491146939e-05 1.42081867405267e-05
"251" 1.5765262726518e-11 4.33319891293967e-05
"253" 2.6046510490583e-07 1.83024326875529e-05
"257" 4.11492788507679e-05 4.14411786774202e-05
"261" 1.34548615850666e-11 7.65344206326336e-05
"263" 8.73659036463513e-06 1.31010063439778e-11
"268" 6.18341459726071e-05 5.10744707342696e-05
"269" 2.54578809295415e-05 9.77895360617479e-06
"274" 5.46037353840342e-06 1.1590922354005e-11
"277" 1.14701215112051e-11 4.78340178437747e-05
"283" 1.28199702958365e-11 4.50203268307559e-06
"291" 8.21581931671919e-06 2.78773946525508e-06
"307" 1.71977544680671e-11 0.000575696359678649
"316" 2.82993823373668e-11 0.00127688663105311
"319" 1.76182517643532e-11 0.00425385020233124
"321" 4.8051208149408e-05 1.48661688389503e-11
"327" 2.59700346933085e-11 0.00173778136991143
"328" 0.000105334764660334 4.55384153824931e-06
"337" 2.52364075198681e-11 0.000171639671568969
"340" 2.10402148311113e-06 4.0218703657992e-06
"341" 0.000222997473340331 4.59245692641032e-05
"342" 4.22081779669461e-06 1.8402688026295e-06
"343" 1.47781844939579e-06 1.85347863845887e-06
"344" 5.31967144009491e-05 1.6081596651495e-05
"348" 1.39636469767e-11 7.87854972019291e-06
"363" 3.54447090539814e-06 0.000892249871590392
"364" 6.33715908483657e-07 6.06869856971833e-05
"366" 1.70812324301132e-06 1.11829247735482e-05
"371" 2.23870418205116e-05 6.19076860821237e-06
"372" 1.50564653423715e-11 3.9392773421434e-06
"378" 2.12451904179597e-11 9.06032385030036e-05
"382" 1.08045730590893e-11 6.97813869324449e-05
"383" 1.15623261318533e-11 9.0040582669648e-06
"384" 1.09823445200578e-11 1.06923179726059e-05
"387" 1.06184001613854e-11 5.62754102398147e-06
"390" 5.28867744868369e-11 1.96963229074105e-05
"396" 2.13570218633609e-11 0.000963433197173898
"397" 1.9795570823072e-06 0.000540453787964195
"398" 1.05734716511696e-11 2.81377589044618e-06
"399" 1.25999073957224e-11 6.58421138303725e-05
"402" 1.45582670069394e-05 7.53149879238357e-07
"403" 5.75706289780791e-06 8.19753494116617e-07
"404" 1.64372838649437e-11 1.06923123506655e-05
"406" 7.48069902615366e-05 1.5486030491268e-11
"411" 7.5719194640495e-07 0.00154228847314135
"412" 1.19827715432959e-06 4.82873269118268e-05
"413" 1.23787733180724e-11 0.000123242923726998
"419" 5.09464159372663e-06 3.76940253620119e-07
"420" 9.82865762796217e-06 1.8769927947584e-11
"423" 0.000111937465958019 1.37065514101171e-11
"433" 1.1868172508491e-11 7.87855187981937e-06
"434" 1.26920559931733e-11 1.40688344263596e-05
"435" 1.69543800318211e-11 0.00162185425379371
"439" 1.88542336386597e-11 3.93927342810815e-06
"440" 1.91717998054959e-11 0.00108161133697927
"443" 0.000694979886274607 0.000251678866352219
"444" 0.00254568770129811 0.000755146533359252
"446" 0.000100879320557506 4.17853636365366e-05
"451" 2.22857447884849e-06 1.07973853499882e-06
"453" 0.000168518375112949 0.000660885362117082
"460" 2.52454810276712e-11 8.89149752723421e-05
"466" 2.65309323830411e-05 1.14868163561613e-05
"467" 3.37234553444294e-05 1.98311847196399e-05
"469" 1.19326411826631e-05 3.60988291537376e-05
"470" 0.000211631787082989 5.31361834554914e-05
"471" 0.000834393376726859 0.000418074407002685
"473" 3.65074900624045e-06 1.59338628514871e-05
"477" 1.26437902765629e-11 2.25102072077783e-06
"480" 1.10367261364109e-11 7.42834109809274e-05
"488" 1.8163634029914e-07 8.81686617247363e-06
"489" 6.88413145372127e-06 8.09946915754268e-06
"490" 1.77551026911835e-06 1.84292639539712e-05
"492" 3.27458227049166e-05 1.01464373383642e-05
"493" 8.08175191917866e-06 4.61417037630254e-06
"494" 7.5967164319491e-06 6.23956108411965e-06
"495" 2.12995268155916e-05 5.62331828686632e-06
"496" 6.05889579737319e-05 1.69043384954317e-05
"497" 4.79952790672124e-05 5.52074537599771e-05
"498" 0.000205094658445019 7.90070507912284e-05
"499" 3.7051407658667e-05 1.52758401781336e-05
"501" 1.89888077142013e-05 9.69303813684948e-06
"512" 1.67933216179116e-07 6.01721462495761e-06
"526" 1.34635372823704e-05 7.50891968884261e-06
"536" 3.35808191564735e-06 1.04115783043002e-06
"542" 0.00218705094014827 0.0028023295489817
"548" 1.37563548376168e-05 1.28346679869908e-05
"551" 1.85064207708774e-06 1.21615488689039e-05
"552" 1.24326330641254e-11 1.51943407656603e-05
"557" 1.5322500756975e-06 1.79738061265448e-06
