"1" "2" "3"
"54" 9.33787019389833e-12 1.847823649041e-11 0.000111862788752139
"94" 1.01574581654673e-11 1.83661260826156e-11 3.11925087389054e-05
"113" 9.74047389220488e-12 1.24157229530205e-11 2.79657062951052e-05
"117" 1.30359394861677e-11 1.37411356340247e-11 1.07560399724114e-05
"145" 3.147926428124e-06 1.0913503595865e-11 5.81579419414377e-07
"202" 7.20975715622381e-07 8.17650492550719e-07 5.26473488709456e-05
"217" 0.000151066818436398 1.22540386899821e-11 1.41206005608358e-10
"237" 8.52344488242598e-06 6.88469782934367e-07 0.000263584129621371
"245" 1.35978755067211e-11 3.26658012747918e-11 2.04364468964715e-05
"248" 6.46077100887326e-06 2.66257732886034e-11 3.74823532416821e-05
"251" 5.4355846493409e-05 1.43148282958612e-11 2.01546798482552e-11
"253" 2.17121318885783e-05 2.66659335632501e-09 2.40876722332884e-06
"257" 4.16452974504886e-06 1.42604251512724e-11 0.000153919521557397
"261" 9.51473785318271e-05 1.27284885716397e-11 1.30697101524805e-06
"263" 1.08930698208097e-11 1.26777281200652e-05 1.43702097475919e-11
"268" 2.80718192289843e-06 1.60185392017906e-11 0.000215145901718395
"269" 2.68482934143036e-06 9.22607533491366e-11 6.47477050464728e-05
"274" 9.21778822566156e-12 7.9235716640134e-06 3.22149124638904e-11
"277" 6.00032127624469e-05 1.08245077195281e-11 1.61906085463478e-11
"283" 5.64735950152167e-06 1.16191560222615e-11 2.71363096040966e-11
"291" 2.56082927439158e-07 1.80263157499103e-11 2.11219000446242e-05
"307" 0.000722156220630918 1.76848149313761e-11 3.36022511712768e-11
"316" 0.00160173262733587 2.62413994049427e-11 2.22610063700012e-11
"319" 0.00533604973353612 1.39078844211558e-11 1.3450330772907e-10
"321" 9.86285557592409e-12 6.93452897063561e-05 5.18815803948305e-07
"327" 0.00217988105061193 2.30532954203856e-11 2.00035315759075e-10
"328" 3.60248038986804e-06 0.000146403035585526 1.19691994111851e-05
"337" 0.000214265852562015 1.41099032007405e-11 1.58430786683259e-06
"340" 1.56568891805793e-06 2.87920749754907e-11 9.44601775908647e-06
"341" 4.26065251940028e-06 5.92356491887625e-11 0.00052055386728645
"342" 6.95378306244173e-11 1.85077154054221e-11 1.18315511293997e-05
"343" 6.70149641915111e-07 2.38139785594649e-11 5.43253062885746e-06
"344" 3.66036863991404e-06 2.71072646591325e-11 0.00012994880407769
"348" 9.88288299969826e-06 1.31253979134215e-11 2.03989797090562e-11
"363" 0.00111731933046746 3.26872025421984e-06 5.4750903980425e-06
"364" 7.61394965951772e-05 9.04471002021708e-07 2.27224346355302e-11
"366" 1.68733753917394e-06 1.63364437461809e-06 1.99503189786058e-05
"371" 6.87618988411462e-11 1.29143674675438e-11 5.59313123789085e-05
