"1" "2" "3" "4" "5"
"Prevotellaceae:1" 2.09741782578628e-10 3.57747480553745e-10 2.83541822628473e-05 6.819904604411e-10 1.97401672898235e-09
"Lachnospiraceae:1" 2.09309434060413e-10 3.57668453715376e-10 5.57846151457223e-10 6.81320253164883e-10 9.72993931172784e-05
"Unclassified-Screened:1" 2.0941125173263e-10 3.90301843348757e-10 5.57888872809344e-10 3.46252657507966e-05 1.91484227144881e-09
"Clostridiales:1" 1.06395460439777e-05 3.59022610678429e-10 5.58030828649243e-10 6.81929532954555e-10 2.0997209842559e-09
"Clostridiales:2" 2.09410598510646e-10 3.79805714386381e-10 5.58214174316491e-10 3.46252807761998e-05 1.92769226203697e-09
"Firmicutes:1" 1.063956323561e-05 3.57706464842115e-10 5.58043648161019e-10 6.93195610310433e-10 1.91784514458246e-09
"PeptostreptococcaceaeIncertaeSedis:1" 2.0930109197615e-10 3.57596637544622e-10 5.64611502489904e-10 6.81561224975281e-10 9.7299369685063e-05
"Clostridiales:3" 1.0639522676159e-05 3.63182639292172e-10 5.5835037039756e-10 8.13920802979173e-10 1.91915310519207e-09
"Lachnospiraceae:7" 1.06395668437325e-05 3.57693478637405e-10 5.58019386836328e-10 6.81492107910329e-10 1.91788903541728e-09
"Lachnospiraceae:8" 1.06395454862968e-05 3.58007850348851e-10 5.58200523374591e-10 7.49268846256904e-10 1.92044260053311e-09
"LachnospiraceaeIncertaeSedis:1" 1.063956323561e-05 3.57706464842115e-10 5.58043648161019e-10 6.93195610310433e-10 1.91784514458246e-09
"Lachnospiraceae:9" 2.09309434060413e-10 3.57668453715376e-10 5.57846151457223e-10 6.81320253164883e-10 9.72993931172784e-05
"Lachnospiraceae:10" 2.09343767971021e-10 3.57718786800469e-10 7.17921844130611e-10 3.46251314275366e-05 1.91815911562725e-09
"Prevotellaceae:2" 1.06394119885051e-05 3.57684150538844e-10 9.70073000832387e-10 6.81722982150177e-10 1.9194589463547e-09
"Firmicutes:3" 1.06395604315628e-05 3.67715158256169e-10 5.58234034827588e-10 6.82517417658886e-10 1.91926798408704e-09
"Enterococcaceae:1" 1.06395666615536e-05 3.57682515989648e-10 5.58350819371766e-10 6.81555280551253e-10 1.91829889713769e-09
"Lachnospiraceae:12" 2.59043656886311e-10 3.57944049515726e-10 5.57990497197195e-10 3.4625133492929e-05 2.00545679004624e-09
"Lachnospiraceae:13" 2.59418049960393e-10 3.64558359252104e-10 2.83537698286698e-05 1.03108912387998e-09 1.91757493038784e-09
"Clostridiales:4" 1.06394128230159e-05 6.10794421075031e-10 5.71409472626435e-10 6.82749408849047e-10 1.9221644152302e-09
"Lachnospiraceae:15" 2.77750645009086e-06 3.57744480605679e-10 4.93063548160551e-05 6.82379278301412e-10 2.12288327200788e-09
"Lachnospiraceae:16" 1.06395454862968e-05 3.58007850348851e-10 5.58200523374591e-10 7.49268846256904e-10 1.92044260053311e-09
"Lachnospiraceae:17" 1.06395454862968e-05 3.58007850348851e-10 5.58200523374591e-10 7.49268846256904e-10 1.92044260053311e-09
"Lachnospiraceae:18" 2.09299442559535e-10 3.57591800593543e-10 5.57845265788157e-10 6.81203692290701e-10 9.72993939495339e-05
"Lachnospiraceae:19" 2.0955070724263e-10 1.81775724578611e-05 6.88581964133612e-10 7.09927449226358e-10 1.9295859320754e-09
"Lachnospiraceae:20" 1.06395460439777e-05 3.59022610678429e-10 5.58030828649243e-10 6.81929532954555e-10 2.0997209842559e-09
"Ruminococcaceae:2" 1.0639522676159e-05 3.63182639292172e-10 5.5835037039756e-10 8.13920802979173e-10 1.91915310519207e-09
"Lachnospiraceae:21" 2.09406496398863e-10 1.81774555494889e-05 8.9502426427938e-10 6.84796147112203e-10 1.91887821069417e-09
"Lachnospiraceae:22" 1.06395668437325e-05 3.57693478637405e-10 5.58019386836328e-10 6.81492107910329e-10 1.91788903541728e-09
"Lachnospiraceae:23" 2.09741782578628e-10 3.57747480553745e-10 2.83541822628473e-05 6.819904604411e-10 1.97401672898235e-09
"LachnospiraceaeIncertaeSedis:2" 2.09366247101632e-10 4.97132640412144e-10 1.02583944946996e-09 6.92491374510125e-05 1.91857572713133e-09
"Lachnospiraceae:26" 2.09423306947673e-10 3.5077038021324e-07 2.78050279909611e-05 6.84851411535081e-10 1.92156674781795e-09
"Clostridiales:5" 2.10358119679569e-10 3.95569440525116e-10 2.83541373137562e-05 6.81705374786201e-10 1.92097822772018e-09
"Lachnospiraceae:27" 2.58895019103889e-10 3.57787578302318e-10 5.58232029527562e-10 3.46251656422706e-05 1.91648305369629e-09
"Clostridiales:7" 1.06395627301743e-05 3.62787120897019e-10 5.58629523251655e-10 6.82885508705574e-10 1.92223379604641e-09
"Unclassified-Screened:2" 2.0930651648182e-10 3.58606263671315e-10 6.49936899464553e-10 3.46252139245443e-05 1.9152224677873e-09
"Clostridia:1" 1.06394128230159e-05 6.10794421075031e-10 5.71409472626435e-10 6.82749408849047e-10 1.9221644152302e-09
"Firmicutes:4" 2.09488789331432e-10 1.81776040486364e-05 6.05686850228995e-10 7.54772347442266e-10 1.91949985648139e-09
"Faecalibacterium:1" 2.09384358833811e-10 5.65433088482158e-06 4.78885966813194e-05 6.82736690777879e-10 1.95081232591535e-09
