sample_name,mgrast_id,metagenome_id,metagenome_name,investigation_type,seq_meth,target_gene,adapters,forward_primers,lib_const_meth,lib_reads_seqd,lib_screen,lib_size,lib_vector,misc_param,misc_param_1,misc_param_2,misc_param_3,misc_param_4,misc_param_5,misc_param_6,misc_param_7,misc_param_8,misc_param_9,nucl_acid_amp,nucl_acid_ext,reverse_primers,seq_quality_check,target_subfragment,BSA_final_conc,KCl_final_conc,MgCl2_final_conc,NAP_volume,Tris_HCl_final_conc,amp_polymerase,cloning_kit,cycle_annealing_duration,cycle_annealing_method,cycle_annealing_temp,cycle_count,cycle_denaturation_duration,cycle_denaturation_temp,cycle_extension_duration,cycle_extension_temp,dATP_final_conc,dCTP_final_conc,dGTP_final_conc,dTTP_final_conc,denaturation_duration_initial,denaturation_temp_initial,domain,extension_duration_final,extension_temp_final,file_checksum,file_name,forward_barcodes,forward_primer_final_conc,gelatin_final_conc,host_cells,library_institute,library_notes,local_NAP_ids,other_additives,pcr_buffer_pH,pcr_clean_up_kits,pcr_clean_up_methods,pcr_notes,pcr_replicates,pcr_volume,polymerase_units,reverse_barcodes,reverse_primer_final_conc,run_machine_type,run_number,seq_center,seq_chem,seq_direction,seq_make,seq_model,seq_url,tail_duration,tail_polymerase,tail_temp,thermocycler
Unique name or id of the sample the library is derived from,MG-RAST Library ID,MG-RAST metagenome ID for sequences in this library,Unique name for the sequences from this library,"Library construction type. This field is either metagenome for whole genome shotgun sequencing or mimarks-survey for amplicon/target gene (eg. 16S) sequencing. Use one of: metagenome, mimarks-survey.","Sequencing method used. Use one of: sanger, pyrosequencing, abi-solid, ion torrent, 454, illumina, assembeled, other","Targeted gene or locus name for marker gene studies; e.g. 16S rRNA, 18S rRNA, nif, amoA, rpo",Adapters provide priming sequences for both amplification and sequencing of the sample-library fragments. Both adapters should be reported; in uppercase letters,"List of forward PCR primers that were used to amplify the sequence of the targeted gene, locus or subfragment",Library construction method used for clone libraries,Total number of clones sequenced from the library,Specific enrichment or screening methods applied before and/or after creating clone libraries,Total number of clones in the library prepared for the project,Cloning vector type(s) used in construction of libraries,"Any other measurement performed or parameter collected, that is not listed here","Any other measurement performed or parameter collected, that is not listed here","Any other measurement performed or parameter collected, that is not listed here","Any other measurement performed or parameter collected, that is not listed here","Any other measurement performed or parameter collected, that is not listed here","Any other measurement performed or parameter collected, that is not listed here","Any other measurement performed or parameter collected, that is not listed here","Any other measurement performed or parameter collected, that is not listed here","Any other measurement performed or parameter collected, that is not listed here","Any other measurement performed or parameter collected, that is not listed here","Link to a literature reference, electronic resource or a standard operating procedure (SOP)","Link to a literature reference, electronic resource or a standard operating procedure (SOP)","List of reverse PCR primers that were used to amplify the sequence of the targeted gene, locus or subfragment",Indicate if the sequence has been called by automatic systems (none) or undergone a manual editing procedure (e.g. by inspecting the raw data or chromatograms).,"Name of subfragment of a gene or locus; e.g. V6, V9, ITS",Final BSA concentration expressed in milligram / milliliter,KCl final concentration expressed in millimolar,MgCl2 final concentration expressed in millimolar,A list of volumes of nucleic acid preps used for PCR in this batch. Expressed in microliters,Tris-HCl final concentration expressed in millimolar,The polymerase used for amplification. Compare to tail_polymerase. Also could be RT PCR if rRNA was isolated from specimen.,Cloning kit make and model,Cycle annealing time in seconds,"Cycle annealing method. Use one of: static, touchdown, gradient, other",Cycle annealing temperature in celsius. May be one or more values,Number of thermocycles,Cycle denaturation time in seconds,Cycle denaturation temperature in celsius,Cycle extension time in seconds,Cycle extension temperature in celsius,dATP final concentration in micromolar,dATP final concentration in micromolar,dATP final concentration in micromolar,dATP final concentration in micromolar,Initial denaturation time in seconds,Initial denaturation temperature in celsius,"Archaea , Bacteria , Eukarya - requiered by VAMPS",Final extension time in seconds,Final extension temperature in celsius,MD5 checksum of the sequence file submitted to MG-RAST,Name of the sequence file submitted to MG-RAST,List of barcodes attached to forward primers,Forward primer final concentration in micromolar,Gelatin final concentration expressed in percent,Component cells make and model,Name of institute creating the library,Additional notes/information about the library,A list of nucleic acid prep ids processed in this batch. This is the ID attached to the tube containing the purified nucleic acids,Any other PCR additive that is not listed here,pH of PCR buffer,"One or more can be listed, but should be in corresponding order with clean_up_methods. Ex: MoBio UltraClean PCR Clean-Up Kit","One or more can be listed. Ex: column, gel, precipitation, size exclusion filtration",Additional notes/information about PCR,Replicate PCR reactiond that are pooled,PCR buffer volume expressed in microliters,Enzymatic units per tube,List of barcodes attached to reverse primers,Reverse primer final concentration in micromolar,Sequencing machine make and model,Samples were sequenced in multiple pools with non-unique barcodes,Name of instatute sequencing was done,Sequencing chemistry used,"Sequencing direction, valid terms are forward, reverse, both - requied by VAMPS",Make of the sequencing machine,Model of the sequencing machine,URL of instatute sequencing was done,Incubation time for tailing reaction in seconds,The polymerase used in tailing reaction,Incubation temperature for tailing reaction in celsius,Thermocycler make and model
mgs24872,mgl8163,4461135.3,AmzC1babyF2,mimarks-survey,pyrosequencing,metagenome,,,,,,,,,PRIMER: None,LIBRARY_CONSTRUCTION_PROTOCOL: DNA sample was randomly fragmented by nebulization 500-800 bp and then labeled with a distinct MID (Multiplex IDentifier; Roche) according the manufacturer?s protocol (Rapid Library preparation for FLX Titanium). Equivalent amounts of 12 MID-labeled samples were pooled prior to each pyrosequencer run.,EXPERIMENT_CENTER: CGS-GL,RUN_DATE: 7/9/10,RUN_PREFIX: AmzC1babyF2,"EXPERIMENT_TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",BARCODE: None,RUN_CENTER: CGS-GL,"EXPERIMENT_DESIGN_DESCRIPTION: characterizing the bacterial species and gene content in fecal microbiomes sampled from 524 adults and children from 147 families living in 3 different countries (Malawi in Africa, Venezuelan Amerindians in South America, and residents of the USA in North America) that exemplify distinctive living environments and cultural traditions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3c226a3b2d34b7ae57c061f34757bf2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgs24873,mgl8164,4461157.3,h301A.1,mimarks-survey,pyrosequencing,metagenome,,,,,,,,,"EXPERIMENT_DESIGN_DESCRIPTION: characterizing the bacterial species and gene content in fecal microbiomes sampled from 524 adults and children from 147 families living in 3 different countries (Malawi in Africa, Venezuelan Amerindians in South America, and residents of the USA in North America) that exemplify distinctive living environments and cultural traditions.",RUN_CENTER: CGS-GL,BARCODE: None,"EXPERIMENT_TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",RUN_DATE: 6/23/10,RUN_PREFIX: h301A.1,EXPERIMENT_CENTER: CGS-GL,LIBRARY_CONSTRUCTION_PROTOCOL: DNA sample was randomly fragmented by nebulization 500-800 bp and then labeled with a distinct MID (Multiplex IDentifier; Roche) according the manufacturer?s protocol (Rapid Library preparation for FLX Titanium). Equivalent amounts of 12 MID-labeled samples were pooled prior to each pyrosequencer run.,PRIMER: None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9cf320479f5360d02923e5119ace44bb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgs24874,mgl8165,4461152.3,h257A.1,mimarks-survey,pyrosequencing,metagenome,,,,,,,,,"EXPERIMENT_TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",RUN_PREFIX: h257A.1,RUN_DATE: 4/15/10,BARCODE: None,PRIMER: None,EXPERIMENT_CENTER: CGS-GL,LIBRARY_CONSTRUCTION_PROTOCOL: DNA sample was randomly fragmented by nebulization 500-800 bp and then labeled with a distinct MID (Multiplex IDentifier; Roche) according the manufacturer?s protocol (Rapid Library preparation for FLX Titanium). Equivalent amounts of 12 MID-labeled samples were pooled prior to each pyrosequencer run.,RUN_CENTER: CGS-GL,"EXPERIMENT_DESIGN_DESCRIPTION: characterizing the bacterial species and gene content in fecal microbiomes sampled from 524 adults and children from 147 families living in 3 different countries (Malawi in Africa, Venezuelan Amerindians in South America, and residents of the USA in North America) that exemplify distinctive living environments and cultural traditions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5404016aa828d97ed25e787ea8cf701f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgs24875,mgl8166,4461132.3,Amz9baby,mimarks-survey,pyrosequencing,metagenome,,,,,,,,,"EXPERIMENT_DESIGN_DESCRIPTION: characterizing the bacterial species and gene content in fecal microbiomes sampled from 524 adults and children from 147 families living in 3 different countries (Malawi in Africa, Venezuelan Amerindians in South America, and residents of the USA in North America) that exemplify distinctive living environments and cultural traditions.",RUN_CENTER: CGS-GL,LIBRARY_CONSTRUCTION_PROTOCOL: DNA sample was randomly fragmented by nebulization 500-800 bp and then labeled with a distinct MID (Multiplex IDentifier; Roche) according the manufacturer?s protocol (Rapid Library preparation for FLX Titanium). Equivalent amounts of 12 MID-labeled samples were pooled prior to each pyrosequencer run.,EXPERIMENT_CENTER: CGS-GL,PRIMER: None,BARCODE: None,RUN_PREFIX: Amz9baby,RUN_DATE: 5/25/10,"EXPERIMENT_TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feaefe079abf849ea9fb7e18323f3f0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgs24877,mgl8168,4461188.3,USinfTw12.2,mimarks-survey,pyrosequencing,metagenome,,,,,,,,,EXPERIMENT_CENTER: CGS-GL,LIBRARY_CONSTRUCTION_PROTOCOL: DNA sample was randomly fragmented by nebulization 500-800 bp and then labeled with a distinct MID (Multiplex IDentifier; Roche) according the manufacturer?s protocol (Rapid Library preparation for FLX Titanium). Equivalent amounts of 12 MID-labeled samples were pooled prior to each pyrosequencer run.,PRIMER: None,BARCODE: None,"EXPERIMENT_TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",RUN_PREFIX: USinfTw12.2,RUN_DATE: 11/8/10,"EXPERIMENT_DESIGN_DESCRIPTION: characterizing the bacterial species and gene content in fecal microbiomes sampled from 524 adults and children from 147 families living in 3 different countries (Malawi in Africa, Venezuelan Amerindians in South America, and residents of the USA in North America) that exemplify distinctive living environments and cultural traditions.",RUN_CENTER: CGS-GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315b5d4e43d476d052b796f86c30d7c2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgs24878,mgl8169,4461171.3,USBldChld4,mimarks-survey,pyrosequencing,metagenome,,,,,,,,,BARCODE: None,"EXPERIMENT_TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",RUN_PREFIX: USBldChld4,RUN_DATE: 4/26/10,EXPERIMENT_CENTER: CGS-GL,LIBRARY_CONSTRUCTION_PROTOCOL: DNA sample was randomly fragmented by nebulization 500-800 bp and then labeled with a distinct MID (Multiplex IDentifier; Roche) according the manufacturer?s protocol (Rapid Library preparation for FLX Titanium). Equivalent amounts of 12 MID-labeled samples were pooled prior to each pyrosequencer run.,PRIMER: None,"EXPERIMENT_DESIGN_DESCRIPTION: characterizing the bacterial species and gene content in fecal microbiomes sampled from 524 adults and children from 147 families living in 3 different countries (Malawi in Africa, Venezuelan Amerindians in South America, and residents of the USA in North America) that exemplify distinctive living environments and cultural traditions.",RUN_CENTER: CGS-GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b1d4ea2c0a85ec336b85bd6a2543433f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgs24879,mgl8170,4461153.3,h257B.1,mimarks-survey,pyrosequencing,metagenome,,,,,,,,,EXPERIMENT_CENTER: CGS-GL,LIBRARY_CONSTRUCTION_PROTOCOL: DNA sample was randomly fragmented by nebulization 500-800 bp and then labeled with a distinct MID (Multiplex IDentifier; Roche) according the manufacturer?s protocol (Rapid Library preparation for FLX Titanium). Equivalent amounts of 12 MID-labeled samples were pooled prior to each pyrosequencer run.,PRIMER: None,BARCODE: None,"EXPERIMENT_TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",RUN_PREFIX: h257B.1,RUN_DATE: 4/15/10,"EXPERIMENT_DESIGN_DESCRIPTION: characterizing the bacterial species and gene content in fecal microbiomes sampled from 524 adults and children from 147 families living in 3 different countries (Malawi in Africa, Venezuelan Amerindians in South America, and residents of the USA in North America) that exemplify distinctive living environments and cultural traditions.",RUN_CENTER: CGS-GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33e68d3bbc566ef749d83e3c6bb54ddb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgs24880,mgl8171,4461226.3,TS5,mimarks-survey,pyrosequencing,metagenome,,,,,,,,,RUN_CENTER: CGS-GL,"EXPERIMENT_DESIGN_DESCRIPTION: characterizing the bacterial species and gene content in fecal microbiomes sampled from 524 adults and children from 147 families living in 3 different countries (Malawi in Africa, Venezuelan Amerindians in South America, and residents of the USA in North America) that exemplify distinctive living environments and cultural traditions.",PRIMER: None,LIBRARY_CONSTRUCTION_PROTOCOL: DNA sample was randomly fragmented by nebulization 500-800 bp and then labeled with a distinct MID (Multiplex IDentifier; Roche) according the manufacturer?s protocol (Rapid Library preparation for FLX Titanium). Equivalent amounts of 12 MID-labeled samples were pooled prior to each pyrosequencer run.,EXPERIMENT_CENTER: CGS-GL,RUN_DATE: None,RUN_PREFIX: USts2.T2,"EXPERIMENT_TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",BARCODE: None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,719d11268b8f453269a0e3d7e326defa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgs24881,mgl8172,4461156.3,h259B.2,mimarks-survey,pyrosequencing,metagenome,,,,,,,,,PRIMER: None,EXPERIMENT_CENTER: CGS-GL,LIBRARY_CONSTRUCTION_PROTOCOL: DNA sample was randomly fragmented by nebulization 500-800 bp and then labeled with a distinct MID (Multiplex IDentifier; Roche) according the manufacturer?s protocol (Rapid Library preparation for FLX Titanium). Equivalent amounts of 12 MID-labeled samples were pooled prior to each pyrosequencer run.,"EXPERIMENT_TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",RUN_DATE: 4/21/10,RUN_PREFIX: h259B.1,BARCODE: None,RUN_CENTER: CGS-GL,"EXPERIMENT_DESIGN_DESCRIPTION: characterizing the bacterial species and gene content in fecal microbiomes sampled from 524 adults and children from 147 families living in 3 different countries (Malawi in Africa, Venezuelan Amerindians in South America, and residents of the USA in North America) that exemplify distinctive living environments and cultural traditions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,619097790a96281a9aaaaa9c137d0090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgs24882,mgl8173,4461207.3,USinfTw3.1,mimarks-survey,pyrosequencing,metagenome,,,,,,,,,BARCODE: None,"EXPERIMENT_TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",RUN_DATE: 11/8/10,RUN_PREFIX: USinfTw3.1,EXPERIMENT_CENTER: CGS-GL,LIBRARY_CONSTRUCTION_PROTOCOL: DNA sample was randomly fragmented by nebulization 500-800 bp and then labeled with a distinct MID (Multiplex IDentifier; Roche) according the manufacturer?s protocol (Rapid Library preparation for FLX Titanium). Equivalent amounts of 12 MID-labeled samples were pooled prior to each pyrosequencer run.,PRIMER: None,"EXPERIMENT_DESIGN_DESCRIPTION: characterizing the bacterial species and gene content in fecal microbiomes sampled from 524 adults and children from 147 families living in 3 different countries (Malawi in Africa, Venezuelan Amerindians in South America, and residents of the USA in North America) that exemplify distinctive living environments and cultural traditions.",RUN_CENTER: CGS-GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9874caaa9eeafc4ff5ab2a5a5b1f5de9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
